title,desc,2025,2024,2023,2022,pagenumber
79103_7,Untern.BeratjaVorberichtAnzahl abgeschlossener Maßnahmenlfd. Nr.Produktanalysiert (ja/nein)Darstellungsort (Vorbericht; Allg. Erläuterung zu Kapitel ...)BezugsgrößeProduktbudget70 Stadtbibliothek,3.0,0,0,0, 7
80007_7,jaVorbericht und Allgemeine Erläuterung zu ,3640.0,0,0,0, 7
80935_7,Bewegfl. jaVorbericht und Allgemeine Erläuterung zu ,3810.0,0,0,0, 7
80035_7,jaVorberichtAnzahl der Teilnehmer/innen,318748.0,4.0,0,0, 7
80008_7,neinAnzahl der Besuche80 Weiterbildung,7.0,0,0,0, 7
79026_7,jaVorberichtAnzahl der Unterrichtseinheiten (UE) in Zeiteinheiten von 45 Minuten,3160653.0,0,0,0, 7
79395_7,79396)MusikschulunterrichtjaVorberichtAnzahl der Unterrichtseinheiten à 45 Minuten,8160043.0,283672.0,9.0,0, 7
79869_7,jaVorbericht und Allgemeine Erläuterung zu ,3610.0,0,0,0, 7
79728_7,Erwerb v. SchulabschlüssenjaVorberichtAnzahl der Teilnehmer/innen,83749.0,0,0,0, 7
79402_7,jaVorberichtAngebotsstunden,335858.0,10.0,0,0, 7
79870_7,jaVorberichtAnzahl der durchgeführten Maßnahmen in Zeiteinheiten von 45 Minuten,150081.0,13.0,0,0, 7
79404_7,jaVorberichtAngebotsstunden,649527.0,12.0,0,0, 7
79403_7,jaVorberichtAngebotsstunden104 Bürgerservice,16.0,0,0,0, 7
78790_7,jaVorberichtAnzahl der Einbürgerungsbewerber und bewerberinnen,296087.0,256061.0,15.0,0, 7
81117_7,Förd. kult. Projekte durch drittfinanzierte ZuwendungenneinZuwendungen in Euros. Prod. 81116,14.0,0,0,0, 7
81116_7,VT-Förd. kult. Projekte m. bezirkseig. TarnsfermittelnjaVorberichtZuwendungen in Euro105 Förderung des Sports,17.0,0,0,0, 7
72570_7,neinregionalisiertes Produkt; wird in Steglitz-Zehlendorf nicht erstelltAnzahl der Öffnungsstunden je 100 m² bereitgestellter Fläche,0.0,84081.0,19.0,0, 7
75427_7,neinAnzahl der bearbeiteten Verträges. Prod. 77673,21.0,0,0,0, 7
79742_8,Schwimmangeboteneinregionalisiertes Produkt; wird in Steglitz-Zehlendorf nicht erstelltAngebotsstunden als Öffnungsstunden,0.0,0,0,0, 8
60714_8,jaVorbericht und Allgemeine Erläuterung zu ,3930.0,0,0,0, 8
80146_8,jaVorberichtAnzahl aller Auszubildenden (incl. Verbundausbildung); Praktikanten und dual Studierende ,1565061.0,181390.0,26.0,0, 8
80005_8,jaVorbericht und Allgemeine Erläuterung zu ,3930.0,0,0,0, 8
80002_8,jaVorbericht und Allgemeine Erläuterung zu ,3930.0,0,0,0, 8
80384_8,KiezjaVorbericht und Allgemeine Erläuterung zu ,3930.0,0,0,0, 8
80006_8,SjaVorbericht und Allgemeine Erläuterung zu ,3930.0,0,0,0, 8
79096_8,Hilfen außerh. Berlinsneinregionalisiertes Produkt; wird in Steglitz-Zehlendorf nicht erstelltAnzahl der beratenen Personen,0.0,29.0,0,0, 8
76783_8,neinwird in SteglitzZehlendorf nicht erstelltAnzahl der Belegungstage,0.0,32.0,0,0, 8
80003_8,Bezirkl.Seniorwohnhäus.neinVorberichtAnzahl der Bewohner,0.0,34.0,0,0, 8
80489_8,jaVorberichtAnzahl der beratenen Personen,253141.0,33.0,0,0, 8
80488_8,neinwird in SteglitzZehlendorf nicht erstelltAnzahl der mit standardisierter Stellungnahme abgeschlossenen Hilfebedarfsfeststellungsverfahren,86599.0,36.0,0,0, 8
80921_8,jaVorberichtAnzahl der Unterbringungen,255381.0,35.0,0,0, 8
80633_8,jaVorberichtAnzahl der beratenen Personen,332835.0,38.0,0,0, 8
80635_8,WohnraumerhaltjaVorberichtAnzahl der beratenen Personen,136367.0,37.0,0,0, 8
80922_8,u. Unterbr.gem. ASOGjaVorberichtAnzahl der beratenen Personen1085 Ordnung im öffentlichen Raum,41.0,0,0,0, 8
