title,desc,2025,2024,2023,2022,pagenumber
79103_24,UnternehmensbetreuungJaVorberichtAnzahl derabgeschlossenen Maßnahmen885;4 T€50;0%50;0%52 Unterhaltung und Neubau von Grünflächen,0,0,0,0, 24
80935_24,BewegungsflächejaVorberichtPflegefläche in100 qm1.992;9 T€70 Stadtbibliothek,0,0,0,0, 24
80007_24,Medien und EntleihungjaVorberichtAnzahl derEntleihungen2.912;2 T€62;0%,441938.0,0,0,0, 24
80008_24,Vermittlung vonSachinformationenJaVorberichtAnzahl derBesuche1.061;5 T€65;0%,145505.0,0,0,0, 24
80035_24,Informationskompetenzund LeseförderungJaVorberichtAnzahl derTeilnehmer/innen280;3 T€65;0%,6472.0,0,0,0, 24
79395_24,JaVorberichtAnzahl derUnterrichtseinheiten a 45Minuten4.651;3 T€58;0%,38130.0,0,0,0, 24
79026_24,Kurse; Lehrgänge;Prüfungen;Einzelveranstaltungen;einschl.Bildungsberatungen;Ausstellungen/Projekteund StatistikJaVorberichtAnzahl derUnterrichtseinheiten inZeiteinheitenvon 45 Minuten2.625;6 T€78;0%,18243.0,0,0,0, 24
79869_25,Sprachintegrationsmaßnahmen fürZugewanderte ohneMütter-/ElternkurseJaVorberichtAnzahl derdurchgeführtenMaßnahmen inZeiteinheitenvon 45 Minuten1.299;1 T€71;0%,6707.0,0,0,0, 25
79870_25,Sprachintegrationsmaßnahmen für Mütter/Elternvon Schülern und KitaKindern nicht deutscherHerkunftssprache (Mütter-/ElternkurseProduktnichtbebucht81 Kultur,0,0,0,0, 25
81116_25,Projekte mit bezirklichenTransfermittelnJaVorberichtBezirklicheZuwendungen in€387;0 T€52;0%,210625.0,0,0,0, 25
81117_25,Projekte durchdrittfinanzierteZuwendungenJaVorberichtBezirklicheZuwendungen in€31;7 T€52;0%48;0%,0,0,0,0, 25
79402_25,Dritter durchBereitstellung vonInfrastrukturJaVorberichtAngebotsstunden844;7 T€59;0%,4613.0,0,0,0, 25
79403_25,JaVorberichtAngebotsstunden601;8 T€60;0%,4295.0,0,0,0, 25
79404_25,JaVorberichtAngebotsstunden506;4 T€55;0%,2621.0,0,0,0, 25
78790_25,neinAnzahl derEinbürgerungsbewerber/innen105 Förderung des Sports,0,0,0,0, 25
72570_25,EisflächenProduktnichtbebucht,0,0,0,0, 25
75427_25,Verpachtung vonSportanlagenJaVorberichtAnzahl derbearbeitetenVerträge161;9 T€13%87%B0105Bereitstellung vonSportanlagenJaVorberichtAnzahl derbereitgestelltenStunden lt.Belegungsplan9.152;4 T€38%62%,0,0,0,0, 25
77769_25,Sportanlagen mittelsNutzungsvertrag anVereine; die im Sinneeines EigentümersauftretenJaVorberichtQm derSportanlagenormiert40%60%,0,0,0,0, 25
60714_26,ehrenamtlichen ArbeitJaVorberichtAnzahl derehrenamtlichenMitarbeiter mitAufwandsentschädigung516;0 T€86;0%,257.0,0,0,0, 26
80002_26,Beratung und BetreuungNeinAnzahl derberatenenPersonenpro Monat93;0 T€,0,0,0,0, 26
80005_26,Angebote der Bezirke inSeniorenfreizeitstättenJaVorberichtAnzahl derBesucher/innen2.170;0 T€72;8%27;0%,0,0,0,0, 26
80006_26,Angebote der Bezirkeaußerhalb vonSeniorenfreizeitstättenNeinAnzahl derTeilnehmer/innen37;2 T€,0,0,0,0, 26
80681_26,Beratungsangebote fürWohnungslose undandere Menschen inNotsituationen durchfreie TrägerNeinAnzahl derNutzer jeAngebot240;5 T€,0,0,0,0, 26
80384_26,kieznahen Angebotenim sozialen Bereichdurch freie TrägerNeinAnzahl derNutzer jeAngebot584;4 T€,0,0,0,0, 26
76783_26,NeinAnzahl derBelegungstageProduktnichtbebucht,0,0,0,0, 26
80003_26,Seniorenwohnhäuser- Organisation(BA Fr-Kr; Sp; St-Zd; TeSchö)neinAnzahl derBewohner/innenProduktnichtbebucht,0,0,0,0, 26
80004_26,mit Generalmietvertragund MietausfallwagnisNeinAnzahl derWohnplätzeProduktnichtbebucht1085 Ordnung im öffentlichen Raum,0,0,0,0, 26
75428_27,einschließlichUnterbringungJaVorberichtAnzahl derEinsätze315;4 T€51;0%,414.0,0,0,0, 27
80684_27,Betreuung undHilfevermittlungJaVorberichtAnzahl derErstkontakte996;1 T€46;3%,2092.0,0,0,0, 27
78724_27,und Vermittlung vonHilfen bei Problemen imZusammenhang mitBeziehungen/Partnerschaft; Sexualität undSchwangerschaft(BA Mi; Fr-Kr; Ch-Wi; StZd; Mz-He)Anzahl derberatenenPersonen(Paare)Produktnichtbebucht,0,0,0,0, 27
79014_27,und Diagnostik imZus.hang mitSchwangerschaft undSchwangerschaftsverhütung(BA Mi; Fr-Kr; Ch-Wi; StZd; Mz-He)Anzahl derberatenenPersonen(Paare)Produktnichtbebucht,0,0,0,0, 27
80685_27,Hilfevermittlung fürBehinderte undchronisch KrankeNeinAnzahl derErstkontakte imJahr206;3 T€,0,0,0,0, 27
78744_27,übertragbarerKrankheiteneinschließlich HIV(BA Mi; Fr-Kr; Ch-Wi; MzHe)Anzahl derdefiniertenPräventionsmaßnahmenProduktnichtbebucht,0,0,0,0, 27
80138_27,Therapie undBetreuung bei sexuellübertragbarenKrankheiten/HIV(BA Mi; Fr-Kr; Ch-Wi; MzHe)Anzahl derpersönlichenBeratungenProduktnichtbebucht1130 Gesundheitsplanung,0,0,0,0, 27
79711_27,Unterhaltung vonKontakt- undBeratungsstellen imRahmen derPflichtversorgungpsychisch krankerMenschen durch freieTrägerJaVorberichtAngebotsstunde440;0 T€71;0%29;0%,0,0,0,0, 27
80043_28,Suchtberatung imRahmen derPflichtversorgungsuchtkranker Menschendurch freie TrägerjaVorberichtAnzahl derKontakte(analog desDeutschenKerndatensatzes derSuchtkrankenhilfe in der seitdem 01.01.2007gültigenFassung)437;5 T€39;0%61;0%1161 Jugendamt,0,0,0,0, 28
79068_28,und Familienberatungdurch bezirklicheBeratungsstellenJaVorberichtAnzahl derabgeschlossenen Fälle973;3 T€49;0%,409.0,0,0,0, 28
81121_28,Einrichtungsgebundenen Angebote in freierTrägerschaftJaVorberichtAngebotsstundeT€51;0%,5888.0,0,0,0, 28
81122_28,der Familienförderungim häuslichen KontextJaVorberichtAngebotsstundeT€49;0%,1101.0,0,0,0, 28
81123_28,Sozialraum außerhalbder Angebotsform 1JaVorberichtAngebotsstundeT€50;0%,1140.0,0,0,0, 28
80967_29,und  -reisen;internationaleBegegnungen – auchdurch freie TrägerJaVorberichtTeilnehmertage272;9 T€52;0%,1505.0,0,0,0, 29
80031_29,JaVorberichtAnzahl derbegünstigtenjungenMenschen431;4 T€33;0%,570.0,0,0,0, 29
80629_29,durch freie Träger ohneschulbezogeneJugendsozialarbeitJaVorberichtAngebotsstunde502;4 T€49;0%,5879.0,0,0,0, 29
80995_29,Eingliederungshilfen fürseelisch behindertejunge Menschen gemäß§ 35a SGB VIII; inkl.KrankenhilfeJaVorberichtAnzahl deranspruchsberechtigten Personen;die Leistungenerhalten1.216;3;7T€37;0%,1785.0,0,0,0, 29
80996_29,und InobhutnahmeJaVorberichtAnzahl deranspruchsberechtigten Personen;die Leistungenerhalten4.272;1 T€44;0%,6558.0,0,0,0, 29
80159_29,JaVorbericht Anzahl derbegünstigtenjungenMenschen1.193;0 T€39;0%,161.0,0,0,0, 29
80160_29,JaVorbericht Anzahl derbegünstigtenjungenMenschen2.339;7 T€47;0%,990.0,0,0,0, 29
80164_29,TherapeutischeLeistungen; ohne § 35aSGB VIIIJaVorbericht Anzahl derbegünstigtenjungenMenschen525;1 T€39;0%,296.0,0,0,0, 29
80165_29,Gruppenarbeit - JugJaVorberichtAnzahl derbegünstigtenjungenMenschen180;1 T€35;0%,49.0,0,0,0, 29
80166_29,ErziehungsbeistandJaVorberichtAnzahl derbegünstigtenjungenMenschen2.201;8 T€44;0%,931.0,0,0,0, 29
